File name,HEX color,Percent,Percent without background
Gargamel,#7e1710,4.48%,10.96%

Emmet Brickowski,#fcfcfb,59.00%,
Emmet Brickowski,#e78c0f,20.34%,49.61%
Emmet Brickowski,#63341e,8.67%,21.15%
Emmet Brickowski,#b9a48a,8.15%,19.88%
Emmet Brickowski,#0f80ba,3.84%,9.37%

Johnny Bravo,#fcfcfc,63.54%,
Johnny Bravo,#020203,17.37%,47.64%
Johnny Bravo,#606e82,8.93%,24.49%
Johnny Bravo,#edcba0,8.28%,22.71%
Johnny Bravo,#ecd321,1.88%,5.16%

